Navigate,AccountAliasName,OrgnztnNumber,BusinessNatureCode,OrgnztnName,ISOCountryCode,ISOLanguageCode,OrgnztnStatusCode,OrgnztnClasscode,UplinePlatinumOrgnztnNumber,UplineSponsorOrgnztnNumber,HostUpdateDatetime,DeletedRowFlag,PaymentModeCode,UserTypeCode,FirstName,MiddleName,LastName,SuffixName,PreferredFirstName,BirthDate,EthnicityCode,GenderCode,MinorFlag,MaritalStatusCode,ChildrenQuantity,TaxFlag,PrimaryUserFlag,AuditCreateDatetime,AuditUpdateDatetime,AuditUserIdentifier
,,2261687,BusinessOwner,AMWAY 2261687  ABO 2261687,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5880476,10/4/2012 20:10,FALSE,,Applicant1,ABO 2261687,,AMWAY 2261687,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:12,10/4/2012 14:12,WEB01-QA\CMNQF24
,,2261687,BusinessOwner,AMWAY 2261687  ABO 2261687,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5880476,10/4/2012 20:10,FALSE,,Applicant2,ABO 2261687,,AMWAY 2261687,,,,,Male,FALSE,,0,FALSE,FALSE,10/4/2012 14:12,10/4/2012 14:12,WEB01-QA\CMNQF24
,,5891272,BusinessOwner,AMWAY 5891272  ABO 5891272,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5880476,10/4/2012 20:13,FALSE,,Applicant1,ABO 5891272,,AMWAY 5891272,,,9/27/1949 0:00,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:38,10/4/2012 14:38,WEB01-QA\CMNQF24
,,5891272,BusinessOwner,AMWAY 5891272  ABO 5891272,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5880476,10/4/2012 20:13,FALSE,,Applicant2,ABO 5891272,,AMWAY 5891272,,,4/13/1950 0:00,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:38,10/4/2012 14:38,WEB01-QA\CMNQF24
,,5892927,BusinessOwner,AMWAY 5892927  ABO 5892927,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5880476,10/4/2012 20:13,FALSE,,Applicant1,ABO 5892927,,AMWAY 5892927,,,2/6/1981 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:37,10/4/2012 14:37,WEB01-QA\CMNQF24
,,5892927,BusinessOwner,AMWAY 5892927  ABO 5892927,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5880476,10/4/2012 20:13,FALSE,,Applicant2,ABO 5892927,,AMWAY 5892927,,,3/15/1980 0:00,,Male,FALSE,,0,FALSE,FALSE,10/4/2012 14:37,10/4/2012 14:37,WEB01-QA\CMNQF24
,,5898146,BusinessOwner,AMWAY 5898146  ABO 5898146,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,12/3/2012 21:41,FALSE,,Applicant1,ABO 5898146,ABO 5898146,AMWAY 5898146,,,3/25/1977 0:00,,Female,FALSE,,0,FALSE,TRUE,12/3/2012 15:41,12/3/2012 15:41,WEB01-QA\CMNQF24
,,5898150,BusinessOwner,AMWAY 5898150  ABO 5898150,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/31/2013 18:42,FALSE,,Applicant1,ABO 5898150,,AMWAY 5898150,,,4/11/1955 0:00,,Male,FALSE,,0,FALSE,TRUE,12/3/2012 15:42,1/31/2013 12:42,WEB01-QA\CMNQF24
,,5898177,BusinessOwner,AMWAY 5898177  ABO 5898177,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,10/4/2012 20:18,FALSE,,Applicant1,ABO 5898177,,AMWAY 5898177,,,10/2/1966 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 15:13,10/4/2012 15:13,WEB01-QA\CMNQF24
,,5898182,BusinessOwner,AMWAY 5898182  ABO 5898182,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/24/2013 9:48,FALSE,,Applicant1,ABO 5898182,,AMWAY 5898182,,,10/11/1953 0:00,,Female,FALSE,,0,FALSE,TRUE,1/24/2013 3:48,1/24/2013 3:48,WEB01-QA\CMNQF24
,,5898184,BusinessOwner,AMWAY 5898184  ABO 5898184,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/24/2013 9:48,FALSE,,Applicant1,ABO 5898184,,AMWAY 5898184,,,7/16/1970 0:00,,Female,FALSE,,0,FALSE,TRUE,1/24/2013 3:48,1/24/2013 3:48,WEB01-QA\CMNQF24
,,5898191,BusinessOwner,AMWAY 5898191  ABO 5898191,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,10/4/2012 20:18,FALSE,,Applicant1,ABO 5898191,,AMWAY 5898191,,,9/5/1950 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 15:14,10/4/2012 15:14,WEB01-QA\CMNQF24
,,5898286,BusinessOwner,AMWAY 5898286  ABO 5898286,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/24/2013 9:48,FALSE,,Applicant1,ABO 5898286,,AMWAY 5898286,,,11/12/1973 0:00,,Female,FALSE,,0,FALSE,TRUE,1/24/2013 3:48,1/24/2013 3:48,WEB01-QA\CMNQF24
,,5898287,BusinessOwner,AMWAY 5898287  ABO 5898287,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/31/2013 18:41,FALSE,,Applicant1,ABO 5898287,,AMWAY 5898287,,,5/10/1958 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 15:15,1/31/2013 12:41,WEB01-QA\CMNQF24
,,5898310,BusinessOwner,AMWAY 5898310  ABO 5898310,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,10/4/2012 20:18,FALSE,,Applicant1,ABO 5898310,,AMWAY 5898310,,,4/15/1967 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 15:14,10/4/2012 15:14,WEB01-QA\CMNQF24
,,5898316,BusinessOwner,AMWAY 5898316  ABO 5898316,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/24/2013 9:48,FALSE,,Applicant1,ABO 5898316,,AMWAY 5898316,,,1/2/1962 0:00,,Female,FALSE,,0,FALSE,TRUE,1/24/2013 3:49,1/24/2013 3:49,WEB01-QA\CMNQF24
,,5898337,BusinessOwner,AMWAY 5898337  ABO 5898337,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898337,,AMWAY 5898337,,,4/26/1952 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:50,2/21/2013 3:50,WEB01-QA\CMNQF24
,,5898396,BusinessOwner,AMWAY 5898396  ABO 5898396,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898396,,AMWAY 5898396,,,2/1/1960 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:51,2/21/2013 3:51,WEB01-QA\CMNQF24
,,5898402,BusinessOwner,AMWAY 5898402  ABO 5898402,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898402,,AMWAY 5898402,,,11/21/1977 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:51,2/21/2013 3:51,WEB01-QA\CMNQF24
,,5898404,BusinessOwner,AMWAY 5898404  ABO 5898404,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,2/21/2013 9:47,FALSE,,Applicant1,ABO 5898404,,AMWAY 5898404,,,6/26/1956 0:00,,Female,FALSE,,0,FALSE,TRUE,1/24/2013 3:49,2/21/2013 3:48,WEB01-QA\CMNQF24
,,5898408,BusinessOwner,AMWAY 5898408  ABO 5898408,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898408,ABO 5898408,AMWAY 5898408,,,8/29/1954 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:50,2/21/2013 3:50,WEB01-QA\CMNQF24
,,5898418,BusinessOwner,AMWAY 5898418  ABO 5898418,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/24/2013 9:48,FALSE,,Applicant1,ABO 5898418,ABO 5898418,AMWAY 5898418,,,5/22/1976 0:00,,Male,FALSE,,0,FALSE,TRUE,1/24/2013 3:49,1/24/2013 3:49,WEB01-QA\CMNQF24
,,5898427,BusinessOwner,AMWAY 5898427  ABO 5898427,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/24/2013 9:48,FALSE,,Applicant1,ABO 5898427,ABO 5898427,AMWAY 5898427,,,2/27/1972 0:00,,Female,FALSE,,0,FALSE,TRUE,1/24/2013 3:49,1/24/2013 3:49,WEB01-QA\CMNQF24
,,5898597,BusinessOwner,AMWAY 5898597  ABO 5898597,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898597,,AMWAY 5898597,,,7/16/1955 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:51,2/21/2013 3:51,WEB01-QA\CMNQF24
,,5898600,BusinessOwner,AMWAY 5898600  ABO 5898600,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/31/2013 18:42,FALSE,,Applicant1,ABO 5898600,ABO 5898600,AMWAY 5898600,,,9/1/1974 0:00,,Female,FALSE,,0,FALSE,TRUE,1/31/2013 12:42,1/31/2013 12:42,WEB01-QA\CMNQF24
,,5898601,BusinessOwner,AMWAY 5898601  ABO 5898601,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/31/2013 18:42,FALSE,,Applicant1,ABO 5898601,,AMWAY 5898601,,,1/26/1982 0:00,,Female,FALSE,,0,FALSE,TRUE,1/31/2013 12:42,1/31/2013 12:42,WEB01-QA\CMNQF24
,,5898602,BusinessOwner,AMWAY 5898602  ABO 5898602,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/31/2013 18:42,FALSE,,Applicant1,ABO 5898602,,AMWAY 5898602,,,12/7/1969 0:00,,Male,FALSE,,0,FALSE,TRUE,1/31/2013 12:42,1/31/2013 12:42,WEB01-QA\CMNQF24
,,5898603,BusinessOwner,AMWAY 5898603  ABO 5898603,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/31/2013 18:42,FALSE,,Applicant1,ABO 5898603,,AMWAY 5898603,,,5/15/1964 0:00,,Female,FALSE,,0,FALSE,TRUE,1/31/2013 12:42,1/31/2013 12:42,WEB01-QA\CMNQF24
,,5898605,BusinessOwner,AMWAY 5898605  ABO 5898605,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,12/3/2012 21:41,FALSE,,Applicant1,ABO 5898605,,AMWAY 5898605,,,1/14/1971 0:00,,Female,FALSE,,0,FALSE,TRUE,12/3/2012 15:42,12/3/2012 15:42,WEB01-QA\CMNQF24
,,5898613,BusinessOwner,AMWAY 5898613  ABO 5898613,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898613,,AMWAY 5898613,,,6/14/1974 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:50,2/21/2013 3:50,WEB01-QA\CMNQF24
,,5898615,BusinessOwner,AMWAY 5898615  ABO 5898615,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,12/3/2012 21:41,FALSE,,Applicant1,ABO 5898615,,AMWAY 5898615,,,12/10/1951 0:00,,Female,FALSE,,0,FALSE,TRUE,12/3/2012 15:42,12/3/2012 15:42,WEB01-QA\CMNQF24
,,5898629,BusinessOwner,AMWAY 5898629  ABO 5898629,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,12/3/2012 21:41,FALSE,,Applicant1,ABO 5898629,,AMWAY 5898629,,,8/30/1970 0:00,,Female,FALSE,,0,FALSE,TRUE,12/3/2012 15:41,12/3/2012 15:41,WEB01-QA\CMNQF24
,,5898631,BusinessOwner,AMWAY 5898631  ABO 5898631,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/24/2013 9:48,FALSE,,Applicant1,ABO 5898631,,AMWAY 5898631,,,5/13/1986 0:00,,Female,FALSE,,0,FALSE,TRUE,1/24/2013 3:49,1/24/2013 3:49,WEB01-QA\CMNQF24
,,5898632,BusinessOwner,AMWAY 5898632  ABO 5898632,BE,NL,ActiveStatus,AssociateIBOClassCode,2988851,2988851,1/31/2013 18:42,FALSE,,Applicant1,ABO 5898632,,AMWAY 5898632,,,2/10/1964 0:00,,Female,FALSE,,0,FALSE,TRUE,12/3/2012 15:42,1/31/2013 12:42,WEB01-QA\CMNQF24
,,5898609,BusinessOwner,AMWAY 5898609  ABO 5898609,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5755251,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898609,,AMWAY 5898609,,,6/6/1961 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:50,2/21/2013 3:50,WEB01-QA\CMNQF24
,,5898622,BusinessOwner,AMWAY 5898622  ABO 5898622,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,5755251,2/21/2013 9:48,FALSE,,Applicant1,ABO 5898622,,AMWAY 5898622,,,1/1/1961 0:00,,Female,FALSE,,0,FALSE,TRUE,2/21/2013 3:51,2/21/2013 3:51,WEB01-QA\CMNQF24
,,5756311,BusinessOwner,DRUGI  GERWAZY2,BE,NL,ActiveStatus,AssociateIBOClassCode,1008437,5756310,2/14/2013 15:04,FALSE,,Applicant1,GERWAZY2,,DRUGI,,,4/3/1990 0:00,,Male,FALSE,,0,FALSE,TRUE,2/14/2013 9:04,2/14/2013 9:04,WEB01-QA\CMNQF24
,,2705333,BusinessOwner,AMWAY 2705333  ABO 2705333,BE,NL,ActiveStatus,AssociateIBOClassCode,1009017,2107464,10/4/2012 20:11,FALSE,,Applicant1,ABO 2705333,,AMWAY 2705333,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:13,10/4/2012 14:13,WEB01-QA\CMNQF24
,,2960679,BusinessOwner,AMWAY 2960679  ABO 2960679,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,2108410,10/4/2012 20:11,FALSE,,Applicant1,ABO 2960679,,AMWAY 2960679,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:16,10/4/2012 14:16,WEB01-QA\CMNQF24
,,2960679,BusinessOwner,AMWAY 2960679  ABO 2960679,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,2108410,10/4/2012 20:11,FALSE,,Applicant2,ABO 2960679,,AMWAY 2960679,,,,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:16,10/4/2012 14:16,WEB01-QA\CMNQF24
,,5773051,BusinessOwner,AMWAY 5773051  ABO 5773051,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,2108410,10/4/2012 20:12,FALSE,,Applicant1,ABO 5773051,,AMWAY 5773051,,,8/12/1971 0:00,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:21,10/4/2012 14:21,WEB01-QA\CMNQF24
,,5773051,BusinessOwner,AMWAY 5773051  ABO 5773051,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,2108410,10/4/2012 20:12,FALSE,,Applicant2,ABO 5773051,,AMWAY 5773051,,,8/12/1971 0:00,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:21,10/4/2012 14:21,WEB01-QA\CMNQF24
,,5896735,BusinessOwner,AMWAY 5896735  ABO 5896735,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,2108410,10/4/2012 20:17,FALSE,,Applicant1,ABO 5896735,,AMWAY 5896735,,,4/22/1971 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 15:04,10/4/2012 15:04,WEB01-QA\CMNQF24
,,5896735,BusinessOwner,AMWAY 5896735  ABO 5896735,BE,NL,ActiveStatus,AssociateIBOClassCode,1008415,2108410,10/4/2012 20:17,FALSE,,Applicant2,ABO 5896735,,AMWAY 5896735,,,4/19/1966 0:00,,Male,FALSE,,0,FALSE,FALSE,10/4/2012 15:04,10/4/2012 15:04,WEB01-QA\CMNQF24
,,2955949,BusinessOwner,AMWAY 2955949  ABO 2955949,BE,NL,ActiveStatus,AssociateIBOClassCode,7126,2109101,10/4/2012 20:11,FALSE,,Applicant1,ABO 2955949,,AMWAY 2955949,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:15,10/4/2012 14:15,WEB01-QA\CMNQF24
,,5769075,BusinessOwner,AMWAY 5769075  ABO 5769075,BE,NL,ActiveStatus,AssociateIBOClassCode,1008435,2109305,10/4/2012 20:11,FALSE,,Applicant1,ABO 5769075,,AMWAY 5769075,,,9/3/1957 0:00,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:19,10/4/2012 14:19,WEB01-QA\CMNQF24
,,5769075,BusinessOwner,AMWAY 5769075  ABO 5769075,BE,NL,ActiveStatus,AssociateIBOClassCode,1008435,2109305,10/4/2012 20:11,FALSE,,Applicant2,ABO 5769075,,AMWAY 5769075,,,9/3/1957 0:00,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:19,10/4/2012 14:19,WEB01-QA\CMNQF24
,,2931032,BusinessOwner,AMWAY 2931032  ABO 2931032,BE,NL,ActiveStatus,AssociateIBOClassCode,1008442,2109726,10/4/2012 20:11,FALSE,,Applicant1,ABO 2931032,ABO 2931032,AMWAY 2931032,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:14,10/4/2012 14:14,WEB01-QA\CMNQF24
,,2958834,BusinessOwner,AMWAY 2958834  ABO 2958834,BE,NL,ActiveStatus,AssociateIBOClassCode,1008442,2109726,10/4/2012 20:11,FALSE,,Applicant1,ABO 2958834,ABO 2958834,AMWAY 2958834,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:16,10/4/2012 14:16,WEB01-QA\CMNQF24
,,2958834,BusinessOwner,AMWAY 2958834  ABO 2958834,BE,NL,ActiveStatus,AssociateIBOClassCode,1008442,2109726,10/4/2012 20:11,FALSE,,Applicant2,ABO 2958834,ABO 2958834,AMWAY 2958834,,,,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:16,10/4/2012 14:16,WEB01-QA\CMNQF24
,,2960338,BusinessOwner,AMWAY 2960338  ABO 2960338,BE,NL,ActiveStatus,AssociateIBOClassCode,1008442,2109726,10/4/2012 20:11,FALSE,,Applicant1,ABO 2960338,,AMWAY 2960338,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:16,10/4/2012 14:16,WEB01-QA\CMNQF24
,,2962998,BusinessOwner,AMWAY 2962998  ABO 2962998,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,2109833,10/4/2012 20:11,FALSE,,Applicant1,ABO 2962998,,AMWAY 2962998,,,,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:16,10/4/2012 14:16,WEB01-QA\CMNQF24
,,5769813,BusinessOwner,AMWAY 5769813  ABO 5769813,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,2109833,10/4/2012 20:11,FALSE,,Applicant1,ABO 5769813,,AMWAY 5769813,,,10/7/1962 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:20,10/4/2012 14:20,WEB01-QA\CMNQF24
,,5893524,BusinessOwner,AMWAY 5893524  ABO 5893524,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,2109833,10/4/2012 20:15,FALSE,,Applicant1,ABO 5893524,,AMWAY 5893524,,,9/12/1958 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:55,10/4/2012 14:55,WEB01-QA\CMNQF24
,,5895885,BusinessOwner,AMWAY 5895885  ABO 5895885,BE,NL,ActiveStatus,AssociateIBOClassCode,2001197,2109833,10/4/2012 20:14,FALSE,,Applicant1,ABO 5895885,,AMWAY 5895885,,,12/27/1959 0:00,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:52,10/4/2012 14:52,WEB01-QA\CMNQF24
,,2982718,BusinessOwner,AMWAY 2982718  ABO 2982718,BE,NL,ActiveStatus,AssociateIBOClassCode,1008435,2109927,10/4/2012 20:11,FALSE,,Applicant1,ABO 2982718,ABO 2982718,AMWAY 2982718,,,,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:18,10/4/2012 14:18,WEB01-QA\CMNQF24
,,2982718,BusinessOwner,AMWAY 2982718  ABO 2982718,BE,NL,ActiveStatus,AssociateIBOClassCode,1008435,2109927,10/4/2012 20:11,FALSE,,Applicant2,ABO 2982718,ABO 2982718,AMWAY 2982718,,,,,Male,FALSE,,0,FALSE,FALSE,10/4/2012 14:18,10/4/2012 14:18,WEB01-QA\CMNQF24
,,2703674,BusinessOwner,AMWAY 2703674  ABO 2703674,BE,NL,ActiveStatus,AssociateIBOClassCode,1008442,2110357,10/4/2012 20:11,FALSE,,Applicant1,ABO 2703674,ABO 2703674,AMWAY 2703674,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:13,10/4/2012 14:13,WEB01-QA\CMNQF24
,,2709913,BusinessOwner,AMWAY 2709913  ABO 2709913,BE,NL,ActiveStatus,AssociateIBOClassCode,1008442,2110357,10/4/2012 20:11,FALSE,,Applicant1,ABO 2709913,ABO 2709913,AMWAY 2709913,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:13,10/4/2012 14:13,WEB01-QA\CMNQF24
,,2709913,BusinessOwner,AMWAY 2709913  ABO 2709913,BE,NL,ActiveStatus,AssociateIBOClassCode,1008442,2110357,10/4/2012 20:11,FALSE,,Applicant2,ABO 2709913,,AMWAY 2709913,,,,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:13,10/4/2012 14:13,WEB01-QA\CMNQF24
,,1014580,BusinessOwner,AMWAY 1014580  ABO 1014580,BE,FR,ActiveStatus,AssociateIBOClassCode,7126,2110758,10/4/2012 20:10,FALSE,,Applicant1,ABO 1014580,,AMWAY 1014580,,,,,Female,FALSE,,0,FALSE,TRUE,10/4/2012 14:12,10/4/2012 14:12,WEB01-QA\CMNQF24
,,1014580,BusinessOwner,AMWAY 1014580  ABO 1014580,BE,FR,ActiveStatus,AssociateIBOClassCode,7126,2110758,10/4/2012 20:10,FALSE,,Applicant2,ABO 1014580,,AMWAY 1014580,,,,,Male,FALSE,,0,FALSE,FALSE,10/4/2012 14:12,10/4/2012 14:12,WEB01-QA\CMNQF24
,,2708946,BusinessOwner,AMWAY 2708946  ABO 2708946,BE,FR,ActiveStatus,AssociateIBOClassCode,7126,2110758,10/4/2012 20:11,FALSE,,Applicant1,ABO 2708946,,AMWAY 2708946,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:13,10/4/2012 14:13,WEB01-QA\CMNQF24
,,2708946,BusinessOwner,AMWAY 2708946  ABO 2708946,BE,FR,ActiveStatus,AssociateIBOClassCode,7126,2110758,10/4/2012 20:11,FALSE,,Applicant2,ABO 2708946,,AMWAY 2708946,,,,,Female,FALSE,,0,FALSE,FALSE,10/4/2012 14:13,10/4/2012 14:13,WEB01-QA\CMNQF24
,,2968918,BusinessOwner,AMWAY 2968918  ABO 2968918,BE,FR,ActiveStatus,AssociateIBOClassCode,7126,2110758,10/4/2012 20:11,FALSE,,Applicant1,ABO 2968918,,AMWAY 2968918,,,,,Male,FALSE,,0,FALSE,TRUE,10/4/2012 14:17,10/4/2012 14:17,WEB01-QA\CMNQF24
